full_sq,life_sq,floor,max_floor,material,build_year,num_room,kitch_sq,sub_area,area_m,green_zone_part,indust_part,preschool,school,healthcare,shopping,office,radiation,detention,young,work,elder,0_6_age,7_14_age,metro_min_avto,metro_km_avto,metro_min_walk,metro_km_walk,mkad_km,kremlin_km,green_part_1000,prom_part_1000,office_count_1000,trc_count_1000,leisure_count_1000,price_doc
38,18.0,1.0,14.0,panel,1971.0,1.0,9.0,Dmitrovskoe,7126815.285,0.125881935,0.458174486,4,4,1,5,1,no,no,9604,61600,16509,4533,4439,3.804244052,2.5632231919999997,27.08418395,2.257015329,2.442781397,14.85644164,17.16,10.33,2,4,0,5150000
41,17.0,14.0,16.0,panel,1978.0,1.0,10.0,Savelovskoe,2641243.496,0.015899966,0.051942062000000004,2,2,2,0,7,no,no,8583,35405,14007,4119,4017,1.721189865,0.705343866,13.719173800000002,1.143264483,11.52898387,5.323698982,0.9,39.48,17,3,0,5980000
41,20.0,11.0,14.0,panel,1989.0,1.0,8.0,Krjukovo,10842309.74,0.06217241,0.161531741,6,6,2,4,1,no,no,12194,58114,14911,5767,5648,29.92968011,23.24190633,276.45359410000003,23.03779951,20.82829868,38.98890914,7.54,6.64,0,2,0,4600000
38,19.0,6.0,17.0,panel,1986.0,1.0,8.0,Brateevo,7587523.226,0.398794394,0.0,6,6,0,5,0,yes,no,12551,69792,20247,6273,5562,3.330545199,1.1738049940000002,14.08565993,1.1738049940000002,2.885040605,14.92105636,24.97,0.0,0,5,0,5650000
58,37.0,3.0,9.0,panel,1968.0,3.0,6.0,Novogireevo,4395332.782,0.063755213,0.038692987000000005,4,4,2,5,1,yes,no,13523,56908,24130,6120,6533,0.584636005,0.45464958299999997,5.455794993,0.45464958299999997,1.920884471,11.81261352,3.46,5.41,0,4,4,9300000
63,46.0,5.0,9.0,panel,1968.0,4.0,5.0,Horoshevo-Mnevniki,18036436.51,0.232080423,0.111627393,4,5,2,3,8,yes,yes,24814,100601,41388,10955,12238,3.0679141010000004,2.000012152,23.67858767,1.973215639,6.201052333,9.209930834,10.77,1.76,2,3,0,11000000
32,18.0,5.0,9.0,panel,1968.0,1.0,6.0,Rostokino,3497818.591,0.146940785,0.210473241,1,2,3,0,2,no,no,5074,22837,9591,2334,2398,2.07522693,0.61041285,7.3249541979999995,0.61041285,6.270760814,9.662435345,21.2,30.21,2,2,2,5200000
37,19.0,12.0,14.0,breezeblock,1975.0,1.0,9.0,Veshnjaki,10518366.87,0.334905313,0.012338886,6,7,2,4,1,no,no,11729,74032,33184,5208,5776,3.6307513719999998,2.402201893,28.82642272,2.402201893,0.723893928,13.01207255,4.29,0.49,0,2,0,5800000
41,17.0,16.0,25.0,panel,2010.0,1.0,10.0,Chertanovo Central'noe,6879019.637999999,0.061476659,0.282797669,5,5,0,6,2,no,no,16719,68254,27248,7104,8667,3.499964542,2.085077369,24.89462321,2.074551935,3.32783703,15.26871152,45.92,0.0,0,0,0,3000000
60,36.0,5.0,7.0,brick,1995.0,2.0,10.0,Poselenie Voskresenskoe,21494094.8,0.262459141,0.017647053,0,0,0,0,0,no,no,1021,4568,1533,489,469,7.1853510410000005,5.323020696,57.79565087,4.816304239,8.375743859,26.4273225,14.75,5.58,0,0,0,3000000
42,21.0,5.0,12.0,panel,1977.0,1.0,9.0,Ivanovskoe,10207215.1,0.512707469,0.00016967599999999998,7,8,1,1,0,yes,no,12919,77612,32331,6027,5992,5.910674523,4.160693057,48.77957011,4.064964176,0.364100729,13.7703295,22.03,1.36,0,0,0,5300000
53,32.0,16.0,16.0,panel,1980.0,2.0,9.0,Mar'ina Roshha,4684027.803,0.015525088999999999,0.212515361,1,1,3,7,16,no,no,7150,43472,15350,3518,3293,1.0508139140000001,0.685144932,8.312039404,0.69266995,12.31691976,3.596352935,13.05,1.42,13,0,2,11000000
